subject_index,color,Game_theoretic_value,Confirmed,0_pieces,1_pieces,value_Zeyan ,confirmed_Zeyan
2,1,0,0,8592039936,17188257792,0,0
3,0,1,1,8592039936,17725128704,1,1
2,1,1,1,8592044032,17725128704,1,1
3,0,1,1,8592044032,17725130752,1,1
2,1,0,0,12887011328,17725130752,0,0
3,0,1,1,12887011328,18798872576,1,1
2,1,-1,1,12888059904,18798872576,-1,1
3,0,0,0,12888059904,18803066880,0,0
2,1,0,0,13156495360,18803066880,0,1
3,0,0,0,13156495360,18803066896,0,0
2,1,-1,1,13156495361,18803066896,-1,1
3,0,0,0,13156495361,18803329040,0,0
2,1,-1,1,13156560897,18803329040,-1,1
3,0,-1,1,13156560897,18803345424,-1,1
2,1,-1,1,13156560961,18803345424,-1,1
2,0,0,0,0,0,0,0
3,1,0,0,16777216,0,0,0
2,0,0,0,16777216,17179869184,0,0
3,1,0,0,16842752,17179869184,0,0
2,0,0,0,16842752,21474836480,0,0
3,1,0,0,34376581120,21474836480,-1,1
2,0,0,0,34376581120,21474836496,1,1
3,1,0,0,36524064768,21474836496,0,0
2,0,0,0,36524064768,21474836504,0,0
3,1,0,0,36524064800,21474836504,0,0
2,0,0,0,36524064800,21474869272,0,0
3,1,0,0,36524064804,21474869272,0,0
2,0,0,0,36524064804,21474873368,0,0
3,1,-1,1,36524081188,21474873368,-1,1
2,0,0,0,36524081188,21479067672,0,1
3,1,0,0,36526178340,21479067672,0,1
2,0,0,0,36526178340,21479069720,0,1
3,1,-1,1,36527226916,21479069720,-1,1
2,0,0,0,36527226916,21487458328,0,1
3,1,-1,1,45117161508,21487458328,-1,1
2,0,-1,1,45117161508,21487982616,-1,1
3,1,-1,1,45251379236,21487982616,-1,1
2,0,0,0,45251379236,22024853528,0,1
3,1,0,0,45251380260,22024853528,0,1
2,0,0,0,45251380260,22024854040,0,1
3,1,0,1,45251380261,22024854040,0,1
2,0,0,1,45251380261,23098595864,0,1
3,1,0,1,45251388453,23098595864,0,1
2,0,0,1,45251388453,23132150296,0,1
3,1,0,1,45251519525,23132150296,0,1
2,0,0,1,45251519525,23132150360,0,1
3,1,0,1,45251519527,23132150360,0,1
2,0,0,1,45251519527,23132150488,0,1
3,1,0,1,45251519783,23132150488,0,1
2,0,0,1,45251519783,23199259352,0,1
3,1,0,1,45519955239,23199259352,0,1
3,0,0,0,0,0,0,0
2,1,0,0,67108864,0,0,0
3,0,0,0,67108864,16777216,0,0
2,1,0,0,201326592,16777216,0,0
3,0,0,0,201326592,17825792,0,0
2,1,0,0,201326608,17825792,-1,1
3,0,0,0,201326608,17833984,0,0
2,1,0,0,203423760,17833984,-1,1
3,0,0,0,203423760,1091575808,0,0
2,1,0,0,203423761,1091575808,-1,1
3,0,0,0,203423761,1091576320,0,0
2,1,-1,1,211812369,1091576320,-1,1
3,0,0,0,211812369,1091576324,0,0
2,1,-1,1,211943441,1091576324,-1,1
3,0,0,0,211943441,1091576580,-1,1
2,1,-1,1,212467729,1091576580,-1,1
3,0,-1,1,212467729,1091578628,-1,1
2,1,-1,1,749338641,1091578628,-1,1
3,0,-1,1,749338641,1091644164,-1,1
2,1,-1,1,749342737,1091644164,-1,1
2,0,0,0,0,0,0,0
3,1,0,0,16777216,0,0,0
2,0,0,0,16777216,8192,0,0
3,1,0,0,20971520,8192,0,0
2,0,0,0,20971520,8396800,0,0
3,1,0,0,20971528,8396800,0,0
2,0,0,0,20971528,8400896,0,0
3,1,0,0,20987912,8400896,0,0
2,0,1,1,20987912,10498048,1,1
3,1,1,1,1094729736,10498048,1,1
2,0,1,1,1094729736,10498112,1,1
3,1,0,0,1094729768,10498112,0,0
2,0,1,1,1094729768,11546688,1,1
3,1,0,0,1094730792,11546688,0,1
2,0,0,0,1094730792,11546692,0,1
3,1,0,0,1363166248,11546692,0,1
2,0,1,1,1363166248,11546694,1,1
3,1,0,0,1363428392,11546694,-1,1
2,0,0,0,1363428392,548417606,0,1
3,1,0,0,1363430440,548417606,0,1
2,0,0,0,1363430440,548941894,0,1
3,1,0,0,1363430456,548941894,0,1
2,0,1,1,1363430456,548974662,1,1
3,0,0,0,0,0,0,0
2,1,0,0,4194304,0,0,0
3,0,0,0,4194304,2147483648,0,0
2,1,0,0,4198400,2147483648,0,0
3,0,1,1,4198400,2147483652,0,0
2,1,0,0,12587008,2147483652,0,0
3,0,1,1,12587008,2164260868,1,1
2,1,1,1,1086328832,2164260868,1,1
3,0,1,1,1086328832,2164277252,1,1
2,1,0,0,1086328848,2164277252,0,0
3,0,1,1,1086328848,2166374404,1,1
2,1,0,0,1086590992,2166374404,0,0
3,0,0,0,1086590992,2167422980,0,0
2,1,-1,1,1087115280,2167422980,-1,1
3,0,-1,1,1087115280,2167425028,-1,1
2,1,-1,1,1623986192,2167425028,-1,1
2,0,0,0,0,0,0,0
3,1,0,0,33554432,0,0,0
2,0,0,0,33554432,4194304,0,0
3,1,0,0,41943040,4194304,0,0
2,0,0,0,41943040,20971520,0,0
3,1,0,0,41951232,20971520,0,0
2,0,0,0,41951232,20971528,1,1
3,1,0,0,44048384,20971528,0,0
2,0,0,0,44048384,20971560,0,0
3,1,0,0,44048448,20971560,0,0
2,0,0,0,44048448,20975656,0,0
3,1,0,0,4339015744,20975656,0,0
2,0,0,0,4339015744,20992040,0,0
3,1,0,0,4339015760,20992040,0,1
